asking_prices,fair_prices
27791,25795
6591,10860
52123,48158
22438,21284
19027,16265
24906,26850
48304,47194
38735,31962
29905,26023
8525,11685
4797,10769
12818,12433
8813,15311
47729,47819
54873,49188
29630,27568
29707,29769
36181,38693
9602,16396
35614,37480
34635,35658
29663,28942
28466,28431
7231,12747
11047,10189
22981,29118
41563,45773
12307,11899
13022,11267
39667,41551
26777,21394
12575,13556
8647,13890
41314,40740
23876,24502
31669,31777
15305,20627
15034,18792
16069,18433
15075,21016
33565,33897
19083,12612
36397,33483
31665,27159
20698,24541
44835,45920
40348,36531
15506,11585
16732,13943
38191,33939
25150,29457
17104,11021
27992,21653
30348,23417
16319,19692
19428,16873
18848,15675
8611,10161
41728,47065
39278,36557
46993,43763
41198,42606
26028,21534
42556,39127
36243,35851
17712,11016
40941,34253
28582,34276
38468,33247
34076,34300
22396,18529
33522,27262
18132,19268
33745,31271
22711,22185
33144,31243
47674,49099
17101,18571
55912,49976
45457,48044
9316,12568
18572,12027
18666,12695
8921,15258
27000,32002
50498,49504
47796,43159
28921,23986
29585,22666
43155,48660
9865,13561
33617,36854
47184,48952
27515,32662
25200,18392
40120,40535
28918,23067
27890,33599
41803,45222
26486,21837
